scenario,group,value,reps,excluded_reps,estimator,msgs_s,msgs_s_low,msgs_s_high,committed_s,committed_s_low,committed_s_high,reads_s,reads_s_low,reads_s_high,cpu_cores,cpu_cores_low,cpu_cores_high,mem_mb,mem_mb_low,mem_mb_high,req_p50,req_p50_low,req_p50_high,req_p95,req_p95_low,req_p95_high,req_p99,req_p99_low,req_p99_high,req_p999,req_p999_low,req_p999_high,e2e_p50,e2e_p50_low,e2e_p50_high,e2e_p95,e2e_p95_low,e2e_p95_high,e2e_p99,e2e_p99_low,e2e_p99_high,e2e_p999,e2e_p999_low,e2e_p999_high,db_p50,db_p50_low,db_p50_high,db_p95,db_p95_low,db_p95_high,db_p99,db_p99_low,db_p99_high,db_p999,db_p999_low,db_p999_high,read_p50,read_p50_low,read_p50_high,read_p95,read_p95_low,read_p95_high,read_p99,read_p99_low,read_p99_high,read_p999,read_p999_low,read_p999_high,req_mean,req_mean_low,req_mean_high,e2e_mean,e2e_mean_low,e2e_mean_high,db_mean,db_mean_low,db_mean_high,read_mean,read_mean_low,read_mean_high
load_p20.env,load,p20,1,0,pooled,19999.1804,19999.1804,19999.1804,19990.8883,19990.8883,19990.8883,0.0000,0.0000,0.0000,4.1210,4.1210,4.1210,5581.9414,5581.9414,5581.9414,0.8411,0.8411,0.8411,26.3637,26.3637,26.3637,29.5886,29.5886,29.5886,63.0851,63.0851,63.0851,32.5632,32.5632,32.5632,68.5092,68.5092,68.5092,84.8015,84.8015,84.8015,99.7066,99.7066,99.7066,28.4224,28.4224,28.4224,53.9975,53.9975,53.9975,70.8385,70.8385,70.8385,74.6278,74.6278,74.6278,,,,,,,,,,,,,4.4642,4.4642,4.4642,32.4728,32.4728,32.4728,28.0103,28.0103,28.0103,,,
timescale_batching_off.env,batching,off,1,0,pooled,19997.1456,19997.1456,19997.1456,3635.4377,3635.4377,3635.4377,,,,4.9770,4.9770,4.9770,6593.9841,6593.9841,6593.9841,0.7981,0.7981,0.7981,26.7895,26.7895,26.7895,56.3591,56.3591,56.3591,133.7522,133.7522,133.7522,46763.1666,46763.1666,46763.1666,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,46762.7334,46762.7334,46762.7334,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,60000.0000,,,,,,,,,,,,,4.9100,4.9100,4.9100,47171.3848,47171.3848,47171.3848,47170.1548,47170.1548,47170.1548,,,
